,TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value
276,2008,Italy,Total,Unknown,Less than 14 years,Person,
277,2008,Italy,Total,Unknown,From 14 to 17 years,Person,
278,2008,Italy,Total,Unknown,From 18 to 34 years,Person,
279,2008,Italy,Total,Unknown,35 years or over,Person,
280,2008,Cyprus,Total,Total,Total,Person,7000.0
281,2008,Cyprus,Total,Total,Less than 14 years,Person,290.0
282,2008,Cyprus,Total,Total,From 14 to 17 years,Person,195.0
283,2008,Cyprus,Total,Total,From 18 to 34 years,Person,4990.0
284,2008,Cyprus,Total,Total,35 years or over,Person,1525.0
285,2008,Cyprus,Total,Males,Total,Person,5880.0
286,2008,Cyprus,Total,Males,Less than 14 years,Person,160.0
287,2008,Cyprus,Total,Males,From 14 to 17 years,Person,150.0
288,2008,Cyprus,Total,Males,From 18 to 34 years,Person,4440.0
289,2008,Cyprus,Total,Males,35 years or over,Person,1130.0
290,2008,Cyprus,Total,Females,Total,Person,1125.0
291,2008,Cyprus,Total,Females,Less than 14 years,Person,135.0
292,2008,Cyprus,Total,Females,From 14 to 17 years,Person,45.0
293,2008,Cyprus,Total,Females,From 18 to 34 years,Person,550.0
294,2008,Cyprus,Total,Females,35 years or over,Person,395.0
295,2008,Cyprus,Total,Unknown,Total,Person,
296,2008,Cyprus,Total,Unknown,Less than 14 years,Person,
297,2008,Cyprus,Total,Unknown,From 14 to 17 years,Person,
298,2008,Cyprus,Total,Unknown,From 18 to 34 years,Person,
299,2008,Cyprus,Total,Unknown,35 years or over,Person,
300,2008,Latvia,Total,Total,Total,Person,310.0
301,2008,Latvia,Total,Total,Less than 14 years,Person,0.0
302,2008,Latvia,Total,Total,From 14 to 17 years,Person,5.0
303,2008,Latvia,Total,Total,From 18 to 34 years,Person,150.0
304,2008,Latvia,Total,Total,35 years or over,Person,160.0
305,2008,Latvia,Total,Males,Total,Person,260.0
306,2008,Latvia,Total,Males,Less than 14 years,Person,0.0
307,2008,Latvia,Total,Males,From 14 to 17 years,Person,5.0
308,2008,Latvia,Total,Males,From 18 to 34 years,Person,130.0
309,2008,Latvia,Total,Males,35 years or over,Person,130.0
310,2008,Latvia,Total,Females,Total,Person,50.0
311,2008,Latvia,Total,Females,Less than 14 years,Person,0.0
312,2008,Latvia,Total,Females,From 14 to 17 years,Person,0.0
313,2008,Latvia,Total,Females,From 18 to 34 years,Person,20.0
314,2008,Latvia,Total,Females,35 years or over,Person,30.0
315,2008,Latvia,Total,Unknown,Total,Person,
316,2008,Latvia,Total,Unknown,Less than 14 years,Person,
317,2008,Latvia,Total,Unknown,From 14 to 17 years,Person,
318,2008,Latvia,Total,Unknown,From 18 to 34 years,Person,
319,2008,Latvia,Total,Unknown,35 years or over,Person,
320,2008,Lithuania,Total,Total,Total,Person,910.0
321,2008,Lithuania,Total,Total,Less than 14 years,Person,30.0
322,2008,Lithuania,Total,Total,From 14 to 17 years,Person,15.0
323,2008,Lithuania,Total,Total,From 18 to 34 years,Person,410.0
324,2008,Lithuania,Total,Total,35 years or over,Person,455.0
325,2008,Lithuania,Total,Males,Total,Person,675.0
326,2008,Lithuania,Total,Males,Less than 14 years,Person,20.0
327,2008,Lithuania,Total,Males,From 14 to 17 years,Person,10.0
328,2008,Lithuania,Total,Males,From 18 to 34 years,Person,330.0
329,2008,Lithuania,Total,Males,35 years or over,Person,315.0
330,2008,Lithuania,Total,Females,Total,Person,235.0
331,2008,Lithuania,Total,Females,Less than 14 years,Person,10.0
332,2008,Lithuania,Total,Females,From 14 to 17 years,Person,5.0
333,2008,Lithuania,Total,Females,From 18 to 34 years,Person,80.0
334,2008,Lithuania,Total,Females,35 years or over,Person,135.0
335,2008,Lithuania,Total,Unknown,Total,Person,
336,2008,Lithuania,Total,Unknown,Less than 14 years,Person,
